[00:00] OK,好了,今天给大家带来第二期视频,雅思知学流程
[24:34] 但是确实有
[24:35] 因为我就遇到过
[24:36] 你要确保他没有什么
[24:37] 特别的体型特殊体型
[24:39] 只要确保他的前功题
[24:40] ok
[24:40] 然后用最快的时间
[24:41] 10秒钟
[24:42] 真的不要用太多
[24:43] 10秒钟
[24:44] 就确定
[24:45] 去确定他这个前三个空
[24:47] 填什么
[24:47] 比如说你看这个
[24:48] 你就知道他是这个地方
[24:50] 对不对
[24:50] 然后这个地方
[24:51] 为了什么什么学的
[24:51] 你就知道这个东西
[24:52] 肯定他就是前那个
[24:53] 颜色啊
[24:54] 啥啥啥
[24:54] 这个地方肯定是填什么
[24:56] 明知什么的
[24:56] 对不对
[24:57] 你用10秒钟
[24:57] 就能确定前三个空
[24:59] 好
[24:59] 然后他那个时候
[25:00] 还在放录音对不对
[25:01] 然后马上不要管
[25:02] 我们直接就去读Part 2
[25:04] 然后读Part 2
[25:05] 就直接这样读
[25:06] 他一直放一直放
[25:07] Part 2一直放一直放
[25:08] 就你可以做笔记
[25:10] 也可以不做笔记
[25:11] 我还是建议你可以做做笔记的
[25:13] 这个勾画
[25:14] 其实我觉得
[25:15] 符合你这些习惯就行了
[25:16] 然后就是过
[25:18] 不要过多的去钻牛角尖
[25:20] 比如说
[25:21] 我这句话
[25:21] 我突然没看到那什么意思
[25:23] 不管你就继续想一下
[25:24] 就把它
[25:25] 有个月读的过程就行了
[25:27] 那当然你肯定是要知道他什么意思
[25:28] 但是你现在
[25:29] 因为你在读第一遍
[25:31] 你不用想那么多
[25:32] 你就读
[25:32] 读
[25:33] 读
[25:33] 读
[25:34] 读
[25:34] 一直这样读下去
[25:35] 然后这个就是我刚刚讲的那个方法
[25:37] 你一定要把这个
[25:38] 匹配题啊
[25:39] 这些选项啊
[25:40] 这些所有题中的选项
[25:41] 你一眼看过去
[25:42] 你要知道他什么意思
[25:43] 这个是要自己训练的
[25:44] ok
[25:45] 然后你读完以后
[25:46] 你就继续读Part 3
[25:47] 如果有些同学他的
[25:48] 他读的速度不快
[25:50] 他可能
[25:51] Part 3他没读完
[25:52] 没关系
[25:53] 等那个
[25:54] 等那个
[25:55] Part 1
[25:55] 他刚好放那个
[25:57] Part 1
[25:57] 就是那个录音开始的时候
[25:59] 就停的
[25:59] 停着就行了
[26:00] 然后去先做Part 1
[26:02] 然后回来做Part 1
[26:03] 回来做Part 1就行
[26:05] 然后做完以后
[26:06] 你又重新看Part 2
[26:07] 你发现你自己是不是有
[26:10] 比别人就是比正常多
[26:12] 比正常同学多
[26:14] 多了多看一遍题目的时间
[26:16] 你是不是就多了一个选项
[26:18] 因为我们是先看Part 3
[26:20] 对吧
[26:20] 所以
[26:21] 当他做了
[26:22] 当到那个Part 1
[26:24] 我们做完以后
[26:25] 他是不是还会给你一斤的时间去
[26:27] 读那个Part 2
[26:28] 所以我们是不是相当于
[26:29] 你的两遍机会
[26:30] 加深了你的两遍影响
[26:32] 那你正常做的时候不是
[26:33] 就要轻松多的嘛
[26:34] 所以你Part 2
[26:35] Part 3的正确理就会变得高
[26:37] ok
[26:39] 还有一点就是这个
[26:41] 甜工题
[26:41] 因为很多同学他
[26:43] 念到后面以后
[26:44] 他Part 2
[26:44] Part 3
[26:45] 很难出错
[26:46] 因为一直
[26:47] 经历做嘛
[26:47] 他都听得懂
[26:48] 然后那为什么他
[26:50] 会出到什么地方呢
[26:52] 就是Part 1
[26:53] Part 4
[26:54] 为啥呢
[26:54] 就是比如说这种
[26:56] 这种很气很
[26:58] 很简单的东西
[26:59] 就他一个单词
[27:00] Oni-One-War
[27:01] 啥的这些
[27:01] 他就没这么注意
[27:03] 就十分
[27:04] 他真的得不尝试
[27:06] 千万不要做这种事情
[27:07] 一定一定
[27:08] 一定一定一开始
[27:10] 不管干嘛
[27:10] 你一定要把这个标出来
[27:11] 这个真的非常非常重要
[27:13] ok
[27:14] 好
[27:14] 我们回到我们的课程上面
[27:17] ok
[27:18] 我们来讲一下那个阅读
[27:19] 阅读没什么讲的
[27:21] 就是平行阅读
[27:22] 就是田工题
[27:23] 你直接
[27:24] 就是全部读完
[27:25] 然后定位
[27:27] 然后这种判断题
[27:28] tft
[27:28] 你可以读两个题
[27:30] 然后再读一段约文
[27:31] 乱续题的话
[27:32] 你就认真认真地把所有选项
[27:34] 翻译完
[27:34] 不要含糊
[27:35] 第一段
[27:36] 一段拆散
[27:38] 一段一段
[27:39] 一段拆散一个选项
[27:40] 不要过多的去
[27:42] 糾结
[27:43] ok
[27:43] 然后我给大家演示一遍
[27:45] 我们怎么做啊
[27:47] 就是阅读题
[27:48] 怎么做
[27:49] 给大家演示一遍
[27:52] ok
[27:52] 就比如说
[27:53] 他这个
[27:54] 这个是tft
[27:55] 对不对
[27:55] 然后呢
[27:56] 你又可以这样
[27:57] 先读这两个题目
[28:00] 读完这两个题目以后
[28:01] 你就先读第一段
[28:03] 如果你觉得第一段没有的话
[28:05] 然后你就不管
[28:05] 你就读第二段
[28:06] 你会发现
[28:07] 哎
[28:07] 这一段好像能回到我这两个问题
[28:09] ok
[28:10] 你把这一段读完了
[28:11] 你这两个问题也回到完
[28:13] 对不对
[28:14] 然后你就开始读三和四
[28:16] 然后继续读这一段
[28:17] 然后呢
[28:18] 我还给大家提一个意见
[28:19] 就是你读的时候啊
[28:21] 你可以你读了这一题后
[28:22] 你可以先去看一下下面
[28:24] 下面是什么
[28:25] 如果他有填空题的话
[28:26] 填空题他是不是很好定位
[28:27] 你先把这个
[28:28] 填空题一些比较关键的事
[28:30] 比如说人命啥的啥的
[28:31] 你把它先圈出来
[28:33] 因为他有的时候比较激烈
[28:35] 他不是很多人
[28:35] 他不一定是完全按顺序来的
[28:37] 比如说
[28:38] 你做这个题
[28:39] 做的做的的时候
[28:40] 他可能会突然来一个
[28:41] 这个填空题的选项
[28:42] 如果你没读填空题的话
[28:44] 你是不是就会漏了
[28:45] 对不对
[28:45] 你会做完这全部全部以后
[28:47] 你才你才会发现
[28:49] 哎
[28:49] 我这之前好像读过了
[28:51] 但是我没有印象
[28:52] 没有把它给标出来
[28:54] 所以我会
[28:55] 我就又要重新去读
[28:57] 所以就没
[28:57] 就会浪费一定的时间
[28:59] 所以我还是建议大家
[29:00] 又填空题啥的
[29:01] 这种填空题啊
[29:02] 你你要是
[29:04] 嗯
[29:04] 我还是建议大家填空题
[29:05] 你还是要花一定的时间
[29:06] 就是先把它
[29:07] 读
[29:07] 因为填空题很简单嘛
[29:08] 你想
[29:09] 你想定位啥的都是
[29:10] 就是还还是比较好定位的
[29:13] 然后就是我讲的就是
[29:14] 这种选择题
[29:15] 你读两个有选项
[29:17] 读两个问题
[29:19] 然后你读一段
[29:19] 就这样对应就行
[29:20] 然后关于这种匹配题啊
[29:22] 匹配题你不要想那么多定位的东西
[29:25] 那可能同学他都
[29:26] 雅士他确实是考定位
[29:28] 但是你会发现我感觉
[29:29] 随着这个考试人数越来越多啊
[29:32] 然后我感觉雅士他也越来越难了
[29:34] 他不会考你那么
[29:35] 就是直接给你定位啥
[29:36] 那么简单的东西
[29:38] 他还是会考你对文章本质上的意见
[29:39] 就像那种
[29:40] 呃
[29:41] 判断题啊
[29:41] 很多同学觉得判断题难
[29:42] 其实判断题
[29:43] 而不是这部分
[29:44] 你是匹配题
[29:45] 很多人觉得匹配题难
[29:46] 匹配题它并不难
[29:47] 你只要把这些东西
[29:49] 意思
[29:50] 读懂就行了
[29:51] 就像你把这些句子读懂就行了
[29:53] 你把它
[29:54] 语法
[29:54] 语法结构
[29:55] 你去搞懂
[29:56] 你就行了
[29:56] 然后就是读一段
[29:58] 然后去判断这五个里面
[30:00] 有没有符合的
[30:01] 有的话就排除
[30:02] 比如说
[30:03] 这个选项
[30:03] 它是符合A段
[30:05] 那你就把A段排除
[30:06] ok对不对
[30:07] 然后就排除一个选项
[30:08] 对不对
[30:08] 然后继续往前
[30:09] 就不要想那么多
[30:11] 有没有
[30:12] 就是TFT
[30:13] 就像大家
[30:14] 我还想讲一点
[30:14] 就是在这种TFT上面
[30:16] 就是这个
[30:17] forrest not a given
[30:18] 对不对
[30:19] 大家很多人会在这上面去纠结
[30:22] 因为它确实有的时候
[30:23] 它的题目就是会让你纠结
[30:25] 没有个特别确定的东西
[30:26] 不要在这上面过度的纠结
[30:28] 不要那么深
[30:28] 比如说这个
[30:29] 假设这个题
[30:30] 我实在不知道它是选 forrest
[30:33] 还是not given
[30:34] 那我就不管
[30:35] 因为你约读就只有一个小时
[30:37] 你不要在这一个小集中
[30:38] 那六一分
[30:39] 你对三的九个
[30:40] 你是不是也是九分
[30:41] 不要想那么多
[30:42] 你就直接过了它
[30:45] poss掉它
[30:45] 不要管它
[30:46] 你就直接做下面题
[30:47] 不要让这种寒孤不清的题目
[30:50] 就是理解不听的题目
[30:51] 去属于你做题的节奏
[30:53] 你要是一直在这个地方死客
[30:55] 你花了20分钟
[30:56] 那不是得不赏资吗
[30:58] 你这个怕了
[30:59] 完全花了20分钟
[31:00] 那真真真没太大必要了
[31:02] 我们应该花更多时间
[31:04] 给怕就可怕
[31:04] 对不对
[31:05] 所以不要想那么多
[31:07] 如果是遇到不会的东西
[31:09] 就放着
[31:10] 说后面的不要管
[31:11] 等你完完整整做完以后
[31:13] 你再回头去看
[31:14] ok
[31:16] 好
[31:16] 我们来先讲一下
[31:18] 副排的问题
[31:19] 今天你做完一道题以后
[31:21] 我们开始复返
[31:21] 听力怎么复返
[31:22] 我上一视频已经讲过了
[31:24] 惊听惊听
[31:25] 还是惊听
[31:27] 你先不要看翻译
[31:28] 做完以后你不要看翻译
[31:29] 不用改错
[31:30] 你先惊听你
[31:31] 怎么惊听
[31:31] OK给大家展示一遍
[31:34] 要比如说
[31:35] 我看一下
[31:42] 稍等一下这个转间确实有点卡
[31:44] 不好意思
[31:47] 他这个这个地方
[31:49] 他有个那个
[31:51] 听力练习
[31:52] 比如说我今天做的键条20的
[31:55] 20的20的puddle
[31:56] puddle
[31:57] 20的test1
[31:57] 我就把
[31:58] 这个test1puddle1puddle
[32:00] 就把cpuddle4这样做个惊听
[32:02] 然后呢
[32:02] 我们从那个
[32:03] 这里开始
[32:04] 他有个惊听练习
[32:04] 就开始自己做
[32:06] 好的
[32:07] 不要做全文惊听
[32:08] 开始做单句惊听
[32:10] 不要记住
[32:10] 不要做全文听听
[32:11] 全经理听的听的很容易听走声
[32:13] 你要做单句惊听
[32:14] 怎么做呢
[32:17] 就之前讲的
[32:19] 你先听一遍
[32:32] OK听一遍感觉
[32:33] 哎呀我还是没有听不懂
[32:34] 他怎么办
[32:35] 再听第二遍
[32:37] OK
[32:37] 那如果我听了第二遍以后
[32:40] 感觉还是听不懂怎么办
[32:41] 还是听不懂怎么办
[32:43] 感觉
[32:43] 嗯
[32:43] 还听不懂
[32:44] 那就第一
[32:45] 再听第三遍
[32:48] 但其实
[32:48] 随着你第一遍第二遍第三遍
[32:50] 你其实每一遍都会比上一遍
[32:52] 听得更清楚
[32:53] 这其实也是个进步的过程
[32:55] 这就是英语进步的过程
[32:57] 你的英语进步
[32:59] 英语提升
[32:59] 就是在这个惊听
[33:00] 重复重复
[33:01] 惊听当中不断提升的
[33:03] 如果第三遍听完以后
[33:05] 还是听不到怎么办
[33:06] 那你就直接翻译为
[33:08] 记得我
[33:09] 我说的是立刻听听的时候
[33:10] 千万千万不要点开语
[33:12] 只有你听了第三遍
[33:13] 我还听不懂
[33:14] 你就开始翻
[33:15] 把这个记文看看
[33:17] 对着译文
[33:18] 去对着这个翻译去看
[33:20] 去看这个句子
[33:21] 去听这个句子
[33:22] 去读这个句子
[33:23] 你看他
[33:23] 你还立得懂不
[33:24] 如果你看中文
[33:26] 看了翻译
[33:27] 你都还没读懂这个句子
[33:29] 什么意思的话
[33:30] 那你就要做一个事情
[33:32] 就是我讲的那个语法
[33:33] 语法解析
[33:34] 你要去解析他这个语法结构
[33:37] 你就可以把这一段话
[33:38] 直接去负责沾贴给那个
[33:40] 协议机比说
[33:41] 麻烦你帮我去分析
[33:42] 像那个字句话的语法结构
[33:44] 你一分一语法结构
[33:45] 你看他诅微斌的什么
[33:46] 什么
[33:47] 这里是个什么程序
[33:48] 他什么成分
[33:49] 他修设谁
[33:50] 你把这些搞懂以后
[33:51] 这个句子你就绝对就懂了
[33:53] 我讲了这么多
[33:54] 还是想回到一个点
[33:56] 语法语法
[33:57] 他真的非常重要
[33:58] 大家一定要好好去学语法
[33:59] 如果你听到这里
[34:01] 你的语法依旧存在明显都懂
[34:03] 就是我问你
[34:04] 诅微斌是什么
[34:05] 你的状语成绩是什么
[34:06] 定语成绩是什么
[34:07] 你都回报出来
[34:08] 别管那么赶紧停一下
[34:10] 赶紧停一下
[34:11] 不要去做叮叮
[34:12] 你现在的唯一重要的事情
[34:14] 唯一任务就是
[34:15] 赶紧去往上听语法
[34:17] 可以马上补你的语法
[34:19] 是非常重要
[34:20] OK
[34:20] 就是今天我已经讲的比较清楚
[34:22] 就是听一遍
[34:23] 不看译文
[34:24] 也不要看那个答案
[34:26] 就是先听一遍
[34:27] 听一遍以后
[34:28] 发现听不懂
[34:29] 那第二遍
[34:30] 第三遍
[34:31] 然后第三遍
[34:31] 如果都还是听不懂的话
[34:34] 就是打开译文看
[34:35] 如果你看了译文都还要听不懂的话
[34:38] 那你就去做语法分析
[34:40] 懂了吗
[34:40] OK
[34:41] 那如果就是长生中
[34:42] 哎
[34:42] 这个太简单了
[34:43] 我听一遍就听懂了
[34:44] 那我还要不要听三遍
[34:46] 没票
[34:46] 你要听一遍
[34:47] 你都能听得清清楚楚
[34:48] 那就没票
[34:49] 多听
[34:49] 不要浪费时间
[34:50] 好吧
[34:50] 做今天还是
[34:52] 还是要花很多时间的
[34:53] 还有就是听你这个问题
[34:56] 你需要听了以后
[34:58] 你后面听完以后
[35:00] 你要开始去改你的题
[35:02] 你要去复盘
[35:03] 你到底是错
[35:05] 做了一个点是语法问题
[35:06] 还是词汇问题影响自己
[35:08] 天空级你要明确自己错来什么地方
[35:11] 比如说
[35:11] 那是拼写错误
[35:14] 是拼写错误呢
[35:15] 还是单付出错误
[35:16] 还是大小写错误
[35:17] 这些都要记录下来
[35:19] 你可以用那个非数
[35:21] 非数给大家推荐一下
[35:22] 就是这个软件
[35:23] 比如说我每次做完以后
[35:24] 我就会在这里做一下
[35:26] 我这里
[35:26] 比如说这是我的听力部分
[35:28] 这个地方我没做好
[35:29] 这是什么
[35:30] 我没听听
[35:31] 然后这里这里没没搞懂
[35:32] 然后走生什么什么的
[35:34] 没搞懂
[35:35] 你要把它写出来
[35:36] 你要给自己写出来
[35:37] 不用说我写了这个
[35:39] 你觉得我会叮叮看吗
[35:40] 我觉得我也不会叮叮看
[35:41] 但是你要有这个过程
[35:43] 你写这个过程
[35:43] 你是不是在你的脑海里面
[35:45] 加上一个印象
[35:46] 是不是
[35:46] 这也是非常重要的
[35:48] 这也是很有用的
[35:49] 所以你做完题目以后
[35:51] 你就要复盘
[35:52] 就是听力
[35:53] 就是天空级
[35:54] 你会想到底是哪里错的
[35:56] 大小写错误
[35:57] 还在长错误
[35:58] 然后你把它记得下来
[35:59] 然后这些单词
[36:00] 这些单词
[36:01] 记得你记完以后
[36:02] 每天早上你备完单词
[36:04] 就是我说的新单词
[36:05] 被玩
[36:06] 老单词复习完
[36:08] 然后该过的那些单词
[36:09] 一个单元一个单元的过
[36:11] 或者是500个
[36:12] 200个300个过
[36:13] 过到1000个那种过的话
[36:15] 你全部弄完以后
[36:16] 你要再花这些时间去备这个
[36:18] 你的听力
[36:19] 天空级错的单词
[36:21] 什么单词
[36:22] 当小写错误的单词
[36:24] 然后一些
[36:25] 单复数错的单词
[36:28] 这些单词你都要记
[36:29] 好 拼写错误的单词
[36:30] 你都要把它记下来
[36:31] 每天早上都要记
[36:32] 然后记的时候
[36:34] 你又拨写
[36:35] 把它过一遍就ok
[36:36] 还有点就是
[36:37] 地图题
[36:38] 就是地图题
[36:40] 它还是
[36:41] 一开始觉得地图题
[36:43] 比较难
[36:44] 其实为什么你觉得它难
[36:45] 你本身上就是一些表示方位的词汇
[36:48] 或者是短语
[36:50] 你没搞懂
[36:51] 或者是一些发音
[36:52] 你根本就没搞懂
[36:52] 所以你必须要把表示方位的词汇
[36:55] 什么东南西北
[36:56] 这些东南角
[36:57] 什么什么什么红绿灯
[37:00] 十路克
[37:01] 纵连社会
[37:02] 你要去搞懂
[37:03] 你要去读懂
[37:04] 这些东西
[37:06] 你搞完以后
[37:09] 你其实
[37:10] 这个地图题就会对你很简单
[37:12] 地图题你就听了它说
[37:14] 然后你就按了它那个图形去
[37:17] 去过就行了
[37:18] 一个一个过就行了
[37:19] 就记得
[37:19] 地图题一定要把这些表示方位的词汇
[37:22] 和答语记得清清楚楚就行了
[37:24] 然后还有一点就是
[37:25] 今天它做完以后
[37:26] 基本上你错的是什么原因
[37:28] 比如说Party of a Theducty
[37:30] 它没有舔空题
[37:31] 也有可能有舔空题
[37:32] 要说选择题
[37:33] 那些匹配题杀你错的地方
[37:35] 你其实你也搞得懂
[37:36] 现在本身你为什么说
[37:37] 就是没听懂
[37:38] 对不对
[37:39] 要面对自己的不好的地方
[37:42] 一定要觉得自己没听懂
[37:43] 就是没听懂
[37:44] 不要喊回
[37:45] 没听懂就是没听懂
[37:46] 喊我想给大家说一下
[37:47] 就是亚斯
[37:48] 他这个
[37:49] 亚斯他的那个听力
[37:51] 他听力的文本难度是很低的
[37:53] 他比越读要哪一个党词
[37:55] 所以我觉得你不需要花很多时间去听播客
[37:59] 那么我觉得没啥意义
[38:01] 就好好做做亚斯原题的今天就ok
[38:04] ok 我再重申一次
[38:05] 今天他是个非常非常重要的方法
[38:09] 也是唯一一个能提高听力的方法
[38:11] 不要想一别的
[38:12] ok 还有一点
[38:13] 来讲一下这个重点
[38:15] 就是舔空题啊
[38:16] 这些听力的时候
[38:17] 这个数字
[38:18] 比如说
[38:19] 他有时候会问你那个
[38:21] passport number
[38:21] 就是你的护照号码
[38:23] 还有你的电话号码啥的
[38:24] 还有什么你的信用卡号
[38:26] 就是一大长串又臭又长的数字
[38:29] 原来觉得哎这数字不是很简单吗
[38:31] 1234567819
[38:33] 但是这些
[38:34] 但是说实话
[38:35] 你按了顺序说的时候
[38:36] 1234589
[38:37] 你感觉哎这简单单
[38:40] 感觉我绝对不会出售
[38:41] 但是呢
[38:41] 他听了不会
[38:43] 不会他
[38:44] 他不会给你出顺序东西
[38:45] 比如说有个人他的电话号
[38:46] 666767
[38:48] 667874321
[38:50] 你能不能
[38:50] 你能不能一下子反应过来
[38:52] 你不好反应过来
[38:53] 所以你对那个数字啊
[38:55] 英文那个数字
[38:56] 你也要非常非常敏感
[38:58] 敏感到什么成就呢
[38:59] 就是比如说
[39:00] 我随便打一个数字
[39:01] 比如说17872323
[39:04] 你要马上就去反应出来
[39:05] 他这个嗯
[39:06] 相对应的英文是什么
[39:09] 这个真的很重要
[39:09] 不要小瞧他
[39:10] 数字是很难的哦
[39:12] 一定要花时间去训练这个能力
[39:14] 还有就是月份
[39:16] 很多人觉得月份也很简单
[39:18] 对不对
[39:18] 那其实
[39:19] 比如说什么
[39:20] generic啊
[39:20] fabric这些东西
[39:21] 嗯
[39:22] 很多人就因为他简单
[39:23] 你又会小瞧他
[39:24] 就会导致有的时候会那个
[39:27] 拼写的时候会错误
[39:28] 比如说有些人
[39:29] 他这个
[39:30] 有些人他听听你的时候啊
[39:32] 他就听到哎
[39:33] 比如说今天是
[39:34] 嗯
[39:35] 嗯
[39:36] 1月1号
[39:37] 是generic first
[39:37] 对不对
[39:38] 哎
[39:39] generic
[39:39] 简单那么一月份吗
[39:40] 我直接写上去
[39:41] 那结果拼了说
[39:42] jaj
[39:43] jau什么什么什么
[39:45] 哎呀就搞忘了
[39:46] 就是因为你太小瞧他
[39:47] 你觉得你肯定不会出错
[39:49] 所以你就会在这上面出错
[39:50] 懂不懂
[39:51] 不要小瞧的东西
[39:52] 把它记好
[39:53] 什么星期啊
[39:54] monitius
[39:55] wednesday
[39:55] 这些东西都要记得
[39:56] 颜色
[39:57] 还有国家
[39:58] 这些东西都必须要反映迅速
[40:00] 国家这个点
[40:01] 大家一定要好好记得
[40:02] 你不要不要觉得那些男的国家
[40:04] 不要
[40:04] 不要难考什么
[40:05] portuguese
[40:06] 啊这些
[40:06] 我记得是
[40:07] 菩萨呀
[40:08] 还是哪地方我搞忘了
[40:09] 就是portuguese
[40:10] 他这个
[40:11] 他他也会考的
[40:12] 真的挺难
[40:13] 挺挺挺挺难的
[40:15] 嗯
[40:15] 当时我又记得我做的一个考的那个是
[40:17] 那个portuguese
[40:18] 所以我当时我
[40:19] 因为我被单词是明显看过这个单单
[40:21] 我觉得哎这么
[40:22] 这么长应该不会搞吧
[40:24] 我就
[40:24] 没有去背他的拼戏
[40:25] 结果
[40:26] 听了以后
[40:27] 啊发现自己脾气也不出来
[40:29] 真的感觉自己错失了
[40:31] 十几万年的感觉
[40:33] 所以
[40:34] 强调一边啊
[40:34] 数字月份星期颜色国家
[40:37] 这些名词啊
[40:39] 这些你必须要反映迅速
[40:41] 还有就是
[40:42] m和n
[40:43] 一定要听清楚第一遍
[40:45] 就是他说人民和地名
[40:46] 一些人民和地名
[40:47] 他带那个m和n的时候
[40:49] 嗯
[40:50] 你要你要听清楚第一遍
[40:51] 什么意思我给大家
[40:52] 呃
[40:53] 展示一秒
[40:54] ok
[40:58] 嗯看一下啊
[41:00] 我这给的是
[41:03] 10个
[41:04] 3
[41:07] ok
[41:08] 稍微小
[41:14] 键键
[41:17] ok
[41:18] 这
[41:19] 6
[41:22] 6
[41:22] 1
[41:23] ok
[41:23] 我们
[41:24] 你
[41:25] 我们看一下这
[41:26] 第2
[41:27] 第二个选项
[41:28] 好吧
[41:32] It's 46
[41:33] Wombat Road
[41:35] That's W.O.M.B.A.T
[41:39] 听清楚了吗
[41:40] 我们再
[41:40] 重新听一遍好不好
[41:43] and what
[41:43] It's 46
[41:45] Wombat Road
[41:46] That's W.O.M.
[41:48] B.A.T.
[41:50] 你不会被发现
[41:51] 就是你听到这个
[41:53] 这个m的时候
[41:54] 你会有点分不清楚
[41:55] 他到底是
[41:56] m还是n
[41:58] 对不对
[41:58] 他有时候他发音
[41:59] 你又有感觉
[42:00] 有点分不清
[42:01] 那这个时候怎么办
[42:02] 你就
[42:03] 你要是听了第一遍
[42:05] 就是前面那个东西
[42:05] 你很仔细的话
[42:07] 他是
[42:07] wombat
[42:08] 你又会很
[42:10] 很明显的就知道这个地方
[42:11] 他
[42:12] 不是n是m
[42:14] 如果他是n的话
[42:14] 就走
[42:15] wombat
[42:15] 不是one bat
[42:16] 对不对
[42:17] 所以
[42:17] 这个点啊
[42:18] 就是
[42:19] 就是很多同学
[42:21] 他也听到
[42:22] 比如说名字的时候
[42:24] 比如说大家介绍的时候
[42:25] 说你要什么名字
[42:26] 我叫什么什么什么
[42:27] 如果他名字里面
[42:28] 他带了那个m
[42:29] 就是大家听那个名字
[42:30] 第一遍的时候
[42:31] 就会给一场唱名字
[42:32] 大家可能都不会在意
[42:34] 因为你前一世的觉得
[42:35] 他肯定会一个字母
[42:37] 一个字母的给我拼写
[42:39] 你就会忽视
[42:40] 他整体的这个发音
[42:41] 就第一遍
[42:42] 他会先说一个名字叫什么
[42:43] 就是整体的发音
[42:44] 这个整体的发音很重要
[42:45] 因为
[42:46] 整体的发音就会让你
[42:47] 就是你要听整体的发音
[42:49] 比如说这个m
[42:50] 和n
[42:50] 你后面就不会出了
[42:51] 对不对
[42:52] 然后我们再重新听一遍
[42:53] It's 46 Wombat Road
[42:56] That's W-O-M-B-A-T
[42:59] 如果你没有听前面这个
[43:01] Wombat Road
[43:02] 你是不是你要
[43:03] 你就忽视他了
[43:04] 你有想着重听这里
[43:06] 那你发现这个m的时候
[43:07] 你又会
[43:08] 你又会开始投云
[43:10] 哎呀
[43:10] 他到底是m还是n呢
[43:12] 你看
[43:12] 所以我自己就写错了
[43:13] 对吧
[43:14] 所以呢
[43:15] 这个时候啊
[43:15] 这种
[43:16] 不管是地名
[43:17] 还是
[43:18] 人民也好啊
[43:19] 听的时候
[43:20] 你最好把它听完
[43:21] 就是他第一次说的时候
[43:23] 你要听
[43:24] 把它发音记住
[43:26] 好不好
[43:26] 这还是挺重要的
[43:27] 因为说错的话
[43:28] 还是挺痛苦的
[43:29] 对不对
[43:30] OK
[43:31] 好
[43:31] 我们继续
[43:33] 好的
[43:34] 阅读副盘
[43:35] OK
[43:35] 我们阅读副盘
[43:36] 其实我觉得
[43:37] 嗯
[43:37] 还挺简单的
[43:38] 就是你搞懂题目意思
[43:40] 提问对象啊
[43:41] 这些主为兵啥的
[43:43] 你搞懂就行了
[43:43] 你要对题目和选项
[43:45] 以及原文
[43:46] 对照原文做一些语法分析
[43:50] 不建议去看那个
[43:51] 这些软件啊
[43:53] 啥的这种题目解析
[43:54] 他就过于太强调定位了
[43:56] 没有讲清楚
[43:58] 句子的四尾逻辑啊
[44:00] 这也打错了
[44:01] 不用管他
[44:01] 就许是逻辑啥的都
[44:03] 都没没讲特别清楚
[44:04] 你可以多问ai
[44:05] 就ai他会给你讲比较清楚的东西
[44:07] 他不会不会跟你讲
[44:09] 他是定位啊
[44:09] 所以啊
[44:10] 这两个匹配啊
[44:11] 他就说这个这个这个打你
[44:13] 这人想了一件
[44:14] 不要想那么多
[44:14] 我觉得大家考雅士啊
[44:16] 雅士定位这个事情
[44:18] 确实还是有点根深蒂固啊
[44:20] 你不用禀气的
[44:21] 但是你也不要过得去依赖他
[44:23] 本质上还是要以理解题目为主
[44:25] 好不好
[44:26] 我们来看一下
[44:27] 如何搞懂真正搞懂一篇文章
[44:29] 就是你把那个长男剧的语法
[44:31] 结构弄清楚
[44:33] 就算有生死
[44:34] 也不会影响你作题
[44:35] 那你就算是真正搞懂一篇文章
[44:37] 你是副盘嘛
[44:38] 我副盘叫什么
[44:39] 我们副盘就是要搞清楚自己
[44:41] 是否自己错了哪里
[44:43] 是意识搞不懂呢
[44:45] 还是问题没读懂
[44:46] 还是定位没招准的
[44:47] 对不对
[44:48] 那我们要怎么搞懂他
[44:49] 很简单
[44:49] 你把那些你读不懂的剧子的语法
[44:51] 结构弄清楚
[44:52] 就行了
[44:52] 对不对
[44:53] 还有切割不要说那种单词全文标注啊
[44:56] 就是
[44:57] 嗯
[44:58] 就怎么说就是很多同学他
[45:00] 他他他那个
[45:02] 他做一篇那个雅士乐的比如说帕拉菲
[45:04] 一般帕拉菲的文章不是很难吗
[45:06] 他觉得哇
[45:07] 怎么读一段有一大量生死
[45:09] 我就把这些生死全部全部记下来
[45:11] 全部全部
[45:12] 搞个小笔记
[45:13] 然后记下来去感觉哎呀
[45:14] 我感觉我好努力
[45:15] 他其实你大部分你是在刺我感动的
[45:18] 因为很多生死他是不影响你阅读的
[45:20] 你只要把剧子的逻辑主干你搞懂
[45:23] 就算有生死
[45:24] 他都不会
[45:25] 不会影响你去阅读
[45:26] 所以不要做那种
[45:27] 把那种生死全文标注
[45:29] 标注这种傻事啊
[45:30] 没意思
[45:31] 而且他很浪费你的经历啊
[45:33] 我们单词那样
[45:35] 我说实话
[45:35] 你就把那种
[45:36] 把那个雅士会增进那个单词
[45:38] 你被被玩被透的
[45:39] 如果你有时间
[45:40] 你可以被你加二一单词被刑了
[45:42] 就行了
[45:42] 不要被这种
[45:43] 不要被那种没有特别大的意义的单词
[45:45] 他浪费时间浪费经验
[45:46] 但是有一点
[45:47] 如果这个单词
[45:48] 他影响了你对这个剧子的理解
[45:50] 就是如果这个单词
[45:52] 我实在是翻译不出来
[45:53] 我就读不懂这个剧子
[45:55] 那么这种时候你就要去
[45:56] 被单词了
[45:57] 好吧
[45:58] 就要被这个单词
